date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-06-21;Braves;Brewers;Bryce Elder;Robert Gasser;45.37;54.63;21.21;12.02;6.57;96.46;5.71
2026-06-21;Yankees;Reds;Elmer Rodríguez;Chase Burns;22.32;77.68;20.19;12.0;6.85;91.73;5.53
2026-06-21;Rays;Nationals;Nick Martinez;Andrew Alvarez;35.27;64.73;37.37;25.62;16.54;95.45;6.81
2026-06-21;Tigers;WhiteSox;Keider Montero;Davis Martin;36.51;63.49;9.44;4.72;2.25;86.86;4.54
2026-06-21;Marlins;Giants;Ryan Gusto;Logan Webb;28.25;71.75;54.05;41.93;30.93;96.28;8.13
2026-06-21;Royals;Cardinals;Stephen Kolek;Dustin May;33.4;66.6;26.18;16.25;9.47;95.31;6.08
2026-06-21;Astros;Guardians;Kai-Wei Teng;Slade Cecconi;68.5;31.5;21.57;13.09;7.35;92.8;5.66
2026-06-21;Cubs;BlueJays;Shota Imanaga;Dylan Cease;35.39;64.61;4.37;1.95;0.85;85.87;3.74
2026-06-21;Rangers;Padres;Nathan Eovaldi;Wandy Peralta;57.84;42.16;15.37;8.45;4.41;90.08;5.13
2026-06-21;Rockies;Pirates;Michael Lorenzen;Jared Jones;33.19;66.81;41.76;30.29;20.68;93.17;7.12
2026-06-21;Diamondbacks;Twins;Jose Cabrera;Mike Paredes;68.02;31.98;6.32;2.77;1.13;96.26;4.37
2026-06-21;Athletics;Angels;Jack Perkins;Reid Detmers;42.83;57.17;11.77;6.35;3.1;92.48;4.82
2026-06-21;Mariners;RedSox;Logan Gilbert;Payton Tolle;42.53;57.47;6.71;3.26;1.47;85.79;4.11
2026-06-21;Dodgers;Orioles;Emmet Sheehan;Brandon Young;74.39;25.61;30.05;19.61;12.0;92.21;6.29
2026-06-21;Phillies;Mets;Zack Wheeler;David Peterson;70.54;29.46;17.0;9.93;5.25;91.69;5.3
