date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-05-19;Marlins;Braves;Braxton Garrett;Martín Pérez;19.27;80.73;41.8;30.69;22.05;94.75;7.26
2026-05-19;Tigers;Guardians;Keider Montero;Parker Messick;28.85;71.15;9.65;5.19;2.77;89.09;4.44
2026-05-19;Rays;Orioles;Griffin Jax;Kyle Bradish;36.19;63.81;31.5;21.59;14.31;95.9;6.41
2026-05-19;Phillies;Reds;Jesús Luzardo;Chase Burns;54.54;45.46;4.94;2.25;1.05;90.25;3.83
2026-05-19;Nationals;Mets;Foster Griffin;Nolan McLean;30.02;69.98;11.93;6.51;3.59;91.33;4.64
2026-05-19;Yankees;BlueJays;Will Warren;Dylan Cease;45.05;54.95;4.58;2.13;1.06;90.67;3.71
2026-05-19;Royals;RedSox;Bailey Falter;Ranger Suarez;35.31;64.69;10.12;5.54;2.79;92.44;4.55
2026-05-19;Cubs;Brewers;Ben Brown;Jacob Misiorowski;42.15;57.85;3.21;1.29;0.63;91.47;3.41
2026-05-19;Twins;Astros;Zebby Matthews;Lance McCullers Jr.;82.45;17.55;8.61;4.89;2.6;88.36;4.24
2026-05-19;Cardinals;Pirates;Matthew Liberatore;Mitch Keller;30.33;69.67;59.25;48.29;37.74;96.87;8.71
2026-05-19;Rockies;Rangers;Sammy Peralta;Kumar Rocker;76.24;23.76;22.65;14.2;8.51;93.27;5.66
2026-05-19;Angels;Athletics;Reid Detmers;Jacob Lopez;54.66;45.34;10.81;5.97;3.05;94.87;4.63
2026-05-19;Diamondbacks;Giants;Ryne Nelson;Landen Roupp;41.17;58.83;11.51;6.47;3.63;92.41;4.64
2026-05-19;Mariners;WhiteSox;Bryce Miller;Anthony Kay;79.79;20.21;42.09;31.49;22.57;95.22;7.22
2026-05-19;Padres;Dodgers;Griffin Canning;Emmet Sheehan;33.72;66.28;21.77;13.99;8.71;94.11;5.63
