date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-05-15;Pirates;Phillies;B. Ashcraft;Aaron Nola;79.18;20.82;18.45;11.37;6.87;93.62;5.32
2026-05-15;Tigers;BlueJays;Brenan Hanifee;Trey Yesavage;22.27;77.73;7.39;3.75;1.89;90.76;4.14
2026-05-15;Nationals;Orioles;Zack Littell;Shane Baz;17.5;82.5;72.15;62.71;53.53;96.01;10.23
2026-05-15;Guardians;Reds;Tanner Bibee;Andrew Abbott;55.52;44.48;27.78;18.07;11.56;95.4;6.13
2026-05-15;Rays;Marlins;Jesse Scholtens;Janson Junk;45.59;54.41;17.95;10.73;6.33;92.38;5.3
2026-05-15;Braves;RedSox;Spencer Strider;Connelly Early;79.87;20.13;18.19;11.27;6.81;94.71;5.27
2026-05-15;Mets;Yankees;Clay Holmes;Cam Schlittler;24.22;75.78;8.74;4.67;2.41;90.47;4.33
2026-05-15;WhiteSox;Cubs;Sean Burke;Edward Cabrera;48.75;51.25;28.31;18.81;11.89;94.67;6.17
2026-05-15;Astros;Rangers;S. Arrighetti;Jack Leiter;49.33;50.67;36.13;25.59;17.26;95.51;6.74
2026-05-15;Cardinals;Royals;Dustin May;Michael Wacha;46.66;53.34;26.89;17.96;11.31;94.49;6.05
2026-05-15;Rockies;Diamondbacks;Kyle Freeland;Merrill Kelly;79.31;20.69;76.87;68.7;59.86;94.91;11.12
2026-05-15;Angels;Dodgers;J. Kochanowicz;Blake Snell;21.91;78.09;32.88;22.9;15.1;94.85;6.54
2026-05-15;Mariners;Padres;Emerson Hancock;Randy Vásquez;60.56;39.44;22.71;14.67;9.29;91.05;5.7
2026-05-15;Athletics;Giants;Aaron Civale;Tyler Mahle;57.02;42.98;26.69;17.71;11.04;94.56;6.03
