date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-05-26;Guardians;Nationals;Joey Cantillo;Cade Cavalli;46.46;53.54;20.2;12.0;6.86;94.3;5.55
2026-05-26;Orioles;Rays;Shane Baz;Griffin Jax;37.77;62.23;33.57;22.78;14.37;95.69;6.55
2026-05-26;Tigers;Angels;Keider Montero;Jack Kochanowicz;45.85;54.15;32.12;21.08;12.7;95.9;6.47
2026-05-26;Pirates;Cubs;Braxton Ashcraft;Jordan Wicks;76.56;23.44;26.9;16.51;9.72;93.89;6.09
2026-05-26;RedSox;Braves;Ranger Suarez;Spencer Strider;25.6;74.4;3.61;1.43;0.6;89.63;3.73
2026-05-26;BlueJays;Marlins;Braydon Fisher;Sandy Alcantara;49.96;50.04;15.02;8.37;4.38;93.45;5.13
2026-05-26;Mets;Reds;David Peterson;Chase Burns;22.75;77.25;10.3;5.21;2.63;88.33;4.66
2026-05-26;Brewers;Cardinals;Kyle Harrison;Michael McGreevy;85.45;14.55;35.28;24.1;15.65;91.65;6.61
2026-05-26;WhiteSox;Twins;Sean Burke;Joe Ryan;39.54;60.46;13.12;6.83;3.37;90.87;4.91
2026-05-26;Royals;Yankees;Bailey Falter;Cam Schlittler;13.69;86.31;24.27;14.56;8.39;90.9;5.88
2026-05-26;Rangers;Astros;Jack Leiter;Jason Alexander;53.26;46.74;21.96;13.19;7.43;93.71;5.66
2026-05-26;Athletics;Mariners;Gage Jump;Emerson Hancock;78.59;21.41;6.86;3.15;1.41;91.22;4.15
2026-05-26;Padres;Phillies;Randy Vásquez;Aaron Nola;35.31;64.69;39.67;28.34;19.7;93.15;6.98
2026-05-26;Giants;Diamondbacks;Tyler Mahle;Eduardo Rodriguez;42.52;57.48;26.48;16.79;10.09;95.15;6.05
2026-05-26;Dodgers;Rockies;Eric Lauer;Kyle Freeland;64.93;35.07;62.53;50.83;39.82;96.41;8.87
