date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-06-16;Phillies;Marlins;Jesús Luzardo;Tyler Phillips;73.29;26.71;9.5;4.67;2.27;89.38;4.6
2026-06-16;Nationals;Royals;Foster Griffin;Michael Wacha;64.48;35.52;31.41;20.79;12.87;93.47;6.4
2026-06-16;RedSox;BlueJays;Payton Tolle;Dylan Cease;39.71;60.29;1.37;0.41;0.1;85.18;3.11
2026-06-16;Yankees;WhiteSox;Gerrit Cole;Davis Martin;47.78;52.22;17.45;9.53;4.95;94.45;5.38
2026-06-16;Reds;Mets;Brady Singer;Kodai Senga;39.19;60.81;37.51;26.37;18.01;94.21;6.81
2026-06-16;Braves;Giants;Grant Holmes;Adrian Houser;69.39;30.61;53.28;41.06;29.92;96.31;8.04
2026-06-16;Brewers;Guardians;Robert Gasser;Slade Cecconi;73.33;26.67;31.93;21.2;13.63;94.91;6.47
2026-06-16;Cardinals;Padres;Andre Pallante;Michael King;72.19;27.81;36.22;24.73;16.31;94.71;6.72
2026-06-16;Cubs;Rockies;Edward Cabrera;Ryan Feltner;62.49;37.51;48.09;36.11;26.18;94.67;7.66
2026-06-16;Rangers;Twins;Kumar Rocker;Zebby Matthews;39.03;60.97;30.19;19.65;12.33;94.01;6.31
2026-06-16;Astros;Tigers;Hunter Brown;Framber Valdez;82.62;17.38;11.26;5.69;2.89;93.53;4.77
2026-06-16;Diamondbacks;Angels;Merrill Kelly;Reid Detmers;14.38;85.62;45.73;34.51;24.99;93.48;7.47
2026-06-16;Mariners;Orioles;Logan Gilbert;Brandon Young;52.14;47.86;32.06;21.77;13.67;94.0;6.45
2026-06-16;Athletics;Pirates;Jack Perkins;Mitch Keller;69.95;30.05;26.39;16.75;9.64;93.77;6.03
2026-06-16;Dodgers;Rays;Justin Wrobleski;Drew Rasmussen;40.17;59.83;29.2;18.41;10.73;95.25;6.26
