date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-06-12;Pirates;Marlins;Braxton Ashcraft;Sandy Alcantara;69.07;30.93;18.22;10.53;5.66;92.55;5.44
2026-06-12;Nationals;Mariners;Zack Littell;Bryce Miller;13.8;86.2;29.47;19.41;11.97;92.68;6.21
2026-06-12;Orioles;Padres;Shane Baz;Griffin Canning;64.53;35.47;25.04;15.94;9.23;92.97;5.91
2026-06-12;RedSox;Rangers;Sonny Gray;Jack Leiter;45.46;54.54;23.45;14.94;8.8;92.53;5.79
2026-06-12;Guardians;Tigers;Tanner Bibee;Jack Flaherty;40.71;59.29;23.85;14.81;8.87;92.91;5.77
2026-06-12;Mets;Braves;Nolan McLean;Spencer Strider;40.69;59.31;6.73;3.06;1.45;92.15;4.24
2026-06-12;Reds;Diamondbacks;Nick Lodolo;Eduardo Rodriguez;32.92;67.08;50.76;38.67;28.18;95.47;7.84
2026-06-12;WhiteSox;Dodgers;Anthony Kay;Roki Sasaki;28.92;71.08;39.02;27.89;19.09;92.85;6.94
2026-06-12;Brewers;Phillies;Jacob Misiorowski;Andrew Painter;91.13;8.87;20.11;12.39;6.98;88.49;5.5
2026-06-12;Twins;Cardinals;Joe Ryan;Kyle Leahy;64.35;35.65;41.21;29.72;20.15;94.35;7.1
2026-06-12;Royals;Astros;Luinder Avila;Tatsuya Imai;45.05;54.95;22.37;13.42;7.75;95.83;5.75
2026-06-12;Angels;Rays;Sam Aldegheri;Shane McClanahan;41.26;58.74;22.97;13.85;8.04;94.7;5.78
2026-06-12;Giants;Cubs;Landen Roupp;Javier Assad;70.24;29.76;22.11;12.77;7.05;95.41;5.74
