date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-06-20;Tigers;WhiteSox;Troy Melton;Sean Newcomb;29.77;70.23;22.59;13.45;7.63;93.27;5.77
2026-06-20;Yankees;Reds;Will Warren;Andrew Abbott;70.17;29.83;30.09;19.75;11.99;95.65;6.35
2026-06-20;Cubs;BlueJays;Colin Rea;Patrick Corbin;47.79;52.21;55.91;43.81;32.82;96.24;8.27
2026-06-20;Rangers;Padres;Nathan Eovaldi;Walker Buehler;55.01;44.99;0.23;0.06;0.0;92.19;2.67
2026-06-20;Marlins;Giants;Max Meyer;Trevor McDonald;60.46;39.54;20.59;12.18;6.83;93.57;5.58
2026-06-20;Braves;Brewers;Chris Sale;Kyle Harrison;52.46;47.54;9.73;5.29;2.64;89.92;4.57
2026-06-20;Rays;Nationals;Ian Seymour;Cade Cavalli;50.8;49.2;19.15;11.61;6.21;93.66;5.46
2026-06-20;Astros;Guardians;Spencer Arrighetti;Joey Cantillo;63.62;36.38;17.46;10.05;5.31;93.39;5.3
2026-06-20;Phillies;Mets;Cristopher Sánchez;Freddy Peralta;62.78;37.22;8.43;4.1;1.82;89.13;4.46
2026-06-20;Rockies;Pirates;Tomoyuki Sugano;Paul Skenes;9.5;90.5;48.57;37.61;27.93;91.61;7.71
2026-06-20;Athletics;Angels;J.T. Ginn;Walbert Ureña;44.89;55.11;16.51;9.1;4.69;96.06;5.32
2026-06-20;Diamondbacks;Twins;Zac Gallen;Taj Bradley;28.61;71.39;44.33;32.81;22.67;94.85;7.33
2026-06-20;Mariners;RedSox;Emerson Hancock;Connelly Early;50.04;49.96;26.17;16.36;9.75;91.77;5.97
2026-06-20;Dodgers;Orioles;Yoshinobu Yamamoto;Trevor Rogers;68.29;31.71;27.49;17.75;10.61;93.99;6.14
