date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-06-13;Twins;Cardinals;Connor Prielipp;Matthew Liberatore;22.08;77.92;5.66;2.79;1.18;92.64;4.06
2026-06-13;BlueJays;Yankees;Kevin Gausman;Cam Schlittler;38.74;61.26;12.69;6.84;3.47;90.65;4.88
2026-06-13;Orioles;Padres;Trey Gibson;Randy Vásquez;48.14;51.86;67.21;56.55;46.16;95.26;9.44
2026-06-13;Pirates;Marlins;Bubba Chandler;Lake Bachar;37.98;62.02;11.5;5.88;2.97;92.83;4.77
2026-06-13;Nationals;Mariners;Cade Cavalli;Luis Castillo;61.68;38.32;34.26;23.34;15.17;94.21;6.59
2026-06-13;Mets;Braves;Sean Manaea;Martín Pérez;46.35;53.65;18.98;11.42;6.39;92.89;5.47
2026-06-13;Guardians;Tigers;Joey Cantillo;Tarik Skubal;34.47;65.53;9.91;4.89;2.44;88.56;4.59
2026-06-13;RedSox;Rangers;Ranger Suarez;Jacob deGrom;46.28;53.72;6.31;3.11;1.46;83.99;4.03
2026-06-13;WhiteSox;Dodgers;Sean Burke;Yoshinobu Yamamoto;39.63;60.37;32.19;20.99;13.06;95.23;6.46
2026-06-13;Reds;Diamondbacks;Rhett Lowder;Michael Soroka;39.49;60.51;26.25;16.45;9.9;93.69;6.0
2026-06-13;Brewers;Phillies;Shane Drohan;Aaron Nola;66.21;33.79;25.23;15.66;9.2;93.69;5.91
2026-06-13;Royals;Astros;Noah Cameron;Mike Burrows;59.79;40.21;34.43;23.35;15.09;94.79;6.62
2026-06-13;Athletics;Rockies;Joey Estes;Kyle Freeland;50.24;49.76;58.6;46.86;35.77;95.73;8.5
2026-06-13;Giants;Cubs;Trevor McDonald;Ben Brown;40.68;59.32;10.05;5.07;2.34;92.79;4.72
2026-06-13;Angels;Rays;José Soriano;Griffin Jax;62.77;37.23;20.43;12.72;7.68;92.73;5.53
