date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-06-05;Cubs;Giants;Edward Cabrera;Robbie Ray;57.19;42.81;37.31;26.24;17.57;94.72;6.82
2026-06-05;Phillies;WhiteSox;Jesús Luzardo;Anthony Kay;79.83;20.17;23.27;14.81;8.81;90.25;5.74
2026-06-05;Tigers;Mariners;Framber Valdez;Bryan Woo;35.09;64.91;13.04;6.93;3.34;91.6;4.99
2026-06-05;Yankees;RedSox;Ryan Weathers;Sonny Gray;71.36;28.64;29.37;19.41;12.12;91.64;6.22
2026-06-05;BlueJays;Orioles;Trey Yesavage;Brandon Young;69.29;30.71;12.82;6.85;3.44;94.61;4.98
2026-06-05;Marlins;Rays;Ryan Gusto;Drew Rasmussen;35.77;64.23;30.48;21.01;13.59;88.59;6.29
2026-06-05;Braves;Pirates;Martín Pérez;Mitch Keller;48.89;51.11;36.01;24.45;15.29;95.97;6.73
2026-06-05;Astros;Athletics;Peter Lambert;Jack Perkins;43.4;56.6;9.71;4.66;2.19;91.81;4.63
2026-06-05;Twins;Royals;Zebby Matthews;Michael Wacha;64.53;35.47;16.43;8.88;4.69;90.84;5.22
2026-06-05;Rangers;Guardians;Kumar Rocker;Parker Messick;32.96;67.04;15.86;8.99;4.67;92.87;5.18
2026-06-05;Cardinals;Reds;Kyle Leahy;Brady Singer;56.49;43.51;64.62;53.76;42.93;95.5;9.15
2026-06-05;Rockies;Brewers;Ryan Feltner;Brandon Sproat;25.56;74.44;57.07;45.43;34.85;95.76;8.41
2026-06-05;Padres;Mets;Michael King;Christian Scott;46.61;53.39;13.32;7.45;3.71;93.75;5.0
2026-06-05;Diamondbacks;Nationals;Merrill Kelly;Foster Griffin;25.05;74.95;63.57;53.11;42.59;95.17;9.15
