date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-05-22;Cubs;Astros;Jameson Taillon;Spencer Arrighetti;52.28;47.72;40.57;29.44;20.57;95.37;7.09
2026-05-22;Phillies;Guardians;Cristopher Sánchez;Gavin Williams;73.91;26.09;9.35;5.41;2.67;88.09;4.34
2026-05-22;Yankees;Rays;Gerrit Cole;Nick Martinez;59.72;40.28;22.95;14.55;9.09;94.38;5.77
2026-05-22;BlueJays;Pirates;Kevin Gausman;Bubba Chandler;64.82;35.18;24.21;15.21;9.27;94.44;5.84
2026-05-22;Marlins;Mets;Eury Pérez;Tobias Myers;34.77;65.23;18.02;10.72;6.38;92.78;5.23
2026-05-22;RedSox;Twins;Payton Tolle;Connor Prielipp;59.7;40.3;2.27;0.95;0.41;87.7;3.19
2026-05-22;Orioles;Tigers;Keegan Akin;Jack Flaherty;51.96;48.04;33.31;23.17;15.51;91.65;6.46
2026-05-22;Braves;Nationals;Bryce Elder;Richard Lovelady;67.47;32.53;18.75;11.45;6.99;95.01;5.38
2026-05-22;Royals;Mariners;Noah Cameron;Logan Gilbert;32.88;67.12;30.71;21.47;14.18;90.55;6.28
2026-05-22;Brewers;Dodgers;Logan Henderson;Justin Wrobleski;63.82;36.18;17.34;10.61;5.93;93.21;5.23
2026-05-22;Angels;Rangers;Grayson Rodriguez;Jacob deGrom;12.75;87.25;49.97;39.43;30.72;92.59;7.96
2026-05-22;Diamondbacks;Rockies;Michael Soroka;Tomoyuki Sugano;82.35;17.65;69.08;58.87;48.93;94.42;9.82
2026-05-22;Padres;Athletics;Walker Buehler;Jeffrey Springs;31.84;68.16;29.3;20.13;12.76;94.21;6.2
2026-05-22;Giants;WhiteSox;Trevor McDonald;Davis Martin;39.96;60.04;12.34;6.82;3.72;88.82;4.75
