date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-05-28;Tigers;Angels;Jack Flaherty;Grayson Rodriguez;68.89;31.11;43.83;32.77;23.43;93.89;7.32
2026-05-28;WhiteSox;Twins;Davis Martin;Simeon Woods Richardson;74.15;25.85;35.32;24.01;15.52;93.06;6.65
2026-05-28;RedSox;Braves;Payton Tolle;Chris Sale;49.55;50.45;2.95;1.36;0.45;85.67;3.58
2026-05-28;Orioles;BlueJays;Chris Bassitt;Patrick Corbin;57.18;42.82;37.85;26.48;17.2;95.47;6.87
2026-05-28;Pirates;Cubs;Paul Skenes;Colin Rea;78.78;21.22;29.17;18.72;11.63;93.61;6.2
2026-05-28;Rangers;Astros;Nathan Eovaldi;Spencer Arrighetti;52.89;47.11;15.49;8.91;4.8;91.59;5.14
