date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-05-14;Pirates;Rockies;M. Montgomery;Chase Dollander;70.27;29.73;8.95;4.9;2.42;92.51;4.36
2026-05-14;Reds;Nationals;Chase Burns;Foster Griffin;56.22;43.78;9.13;5.07;2.69;90.79;4.38
2026-05-14;Mets;Tigers;Nolan McLean;Keider Montero;68.11;31.89;3.08;1.49;0.69;88.13;3.41
2026-05-14;Brewers;Padres;Kyle Harrison;Griffin Canning;55.68;44.32;9.33;5.04;2.73;93.42;4.43
2026-05-14;Astros;Mariners;Mike Burrows;Luis Castillo;70.3;29.7;43.98;32.91;23.71;95.01;7.37
2026-05-14;Athletics;Cardinals;Jacob Lopez;M. McGreevy;69.77;30.23;31.45;21.61;14.55;95.88;6.4
2026-05-14;RedSox;Phillies;Ranger Suarez;Jesús Luzardo;41.43;58.57;9.49;5.27;2.83;91.91;4.47
2026-05-14;Braves;Cubs;Chris Sale;Ben Brown;49.98;50.02;8.26;4.13;2.03;93.59;4.28
2026-05-14;WhiteSox;Royals;Anthony Kay;Kris Bubic;23.6;76.4;36.62;26.28;18.25;93.89;6.76
2026-05-14;Dodgers;Giants;Emmet Sheehan;Landen Roupp;57.89;42.11;3.02;1.36;0.57;81.77;3.36
