date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-06-01;Rays;Tigers;Griffin Jax;Ty Madden;46.23;53.77;6.32;3.08;1.27;90.85;4.2
2026-06-01;Nationals;Marlins;Cade Cavalli;Sandy Alcantara;70.31;29.69;23.91;14.25;8.17;93.23;5.87
2026-06-01;Reds;Royals;Lyon Richardson;Luinder Avila;13.46;86.54;86.7;86.49;86.35;84.28;510.97
2026-06-01;Twins;WhiteSox;Joe Ryan;David Sandlin;50.1;49.9;3.17;1.45;0.6;87.19;3.74
2026-06-01;Brewers;Giants;Shane Drohan;Landen Roupp;57.58;42.42;4.39;1.92;0.74;91.1;3.96
2026-06-01;Cardinals;Rangers;Michael McGreevy;Jacob deGrom;28.23;71.77;29.63;20.07;12.81;87.97;6.2
2026-06-01;Angels;Rockies;José Soriano;Kyle Freeland;77.47;22.53;27.57;18.87;11.91;90.67;6.05
2026-06-01;Diamondbacks;Dodgers;Eduardo Rodriguez;Emmet Sheehan;30.12;69.88;31.61;21.09;13.29;92.92;6.43
2026-06-01;Mariners;Mets;Emerson Hancock;Austin Warren;43.03;56.97;17.29;9.96;5.25;92.94;5.3
