date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-06-18;RedSox;BlueJays;Sonny Gray;Trey Yesavage;33.52;66.48;13.73;7.54;3.81;94.05;5.05
2026-06-18;Brewers;Guardians;Shane Drohan;Parker Messick;71.87;28.13;7.4;3.45;1.61;86.61;4.33
2026-06-18;Rangers;Twins;Jack Leiter;Joe Ryan;29.33;70.67;22.3;13.64;8.05;91.05;5.64
2026-06-18;Mariners;Orioles;Bryan Woo;Shane Baz;58.25;41.75;25.66;16.11;9.41;94.09;5.98
2026-06-18;Phillies;Mets;Aaron Nola;Sean Manaea;51.6;48.4;21.65;13.47;7.75;92.73;5.67
2026-06-18;Yankees;WhiteSox;Ryan Weathers;Sean Burke;56.84;43.16;25.41;16.21;9.64;93.23;5.96
2026-06-18;Braves;Giants;Martín Pérez;Landen Roupp;42.39;57.61;18.65;10.58;5.85;95.13;5.48
2026-06-18;Royals;Cardinals;Noah Cameron;Matthew Liberatore;47.0;53.0;35.17;24.13;15.45;93.77;6.62
