date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-06-11;Marlins;Diamondbacks;Tyler Phillips;Merrill Kelly;80.59;19.41;57.95;46.47;36.15;96.26;8.55
2026-06-11;Tigers;Twins;Keider Montero;Zebby Matthews;38.43;61.57;29.95;19.42;12.11;94.51;6.29
2026-06-11;Mets;Cardinals;Christian Scott;Hunter Dobbins;52.83;47.17;32.73;22.03;13.97;95.7;6.49
2026-06-11;Royals;Rangers;Michael Wacha;Kumar Rocker;49.62;50.38;19.14;11.31;6.07;93.31;5.48
2026-06-11;Rockies;Cubs;Ryan Feltner;Edward Cabrera;92.03;7.97;5.49;2.64;1.19;34.67;3.62
