date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-05-24;BlueJays;Pirates;Dylan Cease;Mitch Keller;75.18;24.82;9.09;4.55;2.07;89.39;4.49
2026-05-24;Orioles;Tigers;Brandon Young;Framber Valdez;60.2;39.8;17.67;10.11;5.5;92.84;5.36
2026-05-24;RedSox;Twins;Sonny Gray;Bailey Ober;43.48;56.52;19.78;11.43;6.42;91.98;5.55
2026-05-24;Phillies;Guardians;Andrew Painter;Parker Messick;37.11;62.89;14.37;7.89;4.01;92.65;5.07
2026-05-24;Yankees;Rays;Ryan Weathers;Drew Rasmussen;50.48;49.52;17.06;9.41;5.1;91.95;5.26
2026-05-24;Marlins;Mets;Tyler Phillips;Christian Scott;58.16;41.84;6.18;2.77;1.11;93.46;4.23
2026-05-24;Royals;Mariners;Seth Lugo;Bryan Woo;24.33;75.67;27.45;18.02;11.11;93.09;6.12
2026-05-24;Brewers;Dodgers;Brandon Sproat;Yoshinobu Yamamoto;38.76;61.24;28.75;18.79;11.47;94.07;6.21
2026-05-24;Cubs;Astros;Shota Imanaga;Peter Lambert;61.68;38.32;7.39;3.88;1.94;88.23;4.34
2026-05-24;Giants;WhiteSox;Robbie Ray;Noah Schultz;53.72;46.28;35.62;24.93;16.29;94.83;6.7
2026-05-24;Braves;Nationals;Martín Pérez;Foster Griffin;47.92;52.08;29.75;19.71;11.81;93.97;6.28
2026-05-24;Diamondbacks;Rockies;Ryne Nelson;Jose Quintana;62.5;37.5;30.56;19.94;12.12;93.84;6.33
2026-05-24;Padres;Athletics;Michael King;Luis Medina;57.69;42.31;17.38;10.08;5.5;93.92;5.3
2026-05-24;Orioles;Tigers;Brandon Young;Framber Valdez;60.49;39.51;24.11;14.93;8.69;93.97;5.88
2026-05-24;Angels;Rangers;Reid Detmers;MacKenzie Gore;62.01;37.99;3.2;1.45;0.61;83.4;3.5
