date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-05-29;Reds;Braves;Chris Paddack;Grant Holmes;44.73;55.27;32.93;22.02;13.86;95.73;6.54
2026-05-29;Nationals;Padres;Paxton Schultz;Lucas Giolito;62.11;37.89;32.67;21.19;13.13;95.13;6.52
2026-05-29;Pirates;Twins;Jared Jones;Taj Bradley;47.44;52.56;14.27;8.09;4.24;91.15;5.01
2026-05-29;Orioles;BlueJays;Trevor Rogers;Adam Macko;61.92;38.08;21.59;13.03;7.29;90.13;5.63
2026-05-29;Mets;Marlins;Freddy Peralta;Max Meyer;45.94;54.06;8.01;3.78;1.59;90.47;4.36
2026-05-29;Guardians;RedSox;Slade Cecconi;Tyler Samaniego;53.82;46.18;29.03;18.27;11.01;94.8;6.23
2026-05-29;Rays;Angels;Nick Martinez;Walbert Ureña;43.37;56.63;16.57;9.18;4.76;94.2;5.33
2026-05-29;Cardinals;Cubs;Andre Pallante;Shota Imanaga;32.03;67.97;14.3;7.77;3.95;89.73;5.01
2026-05-29;WhiteSox;Tigers;Erick Fedde;Troy Melton;62.37;37.63;37.45;25.91;17.15;95.57;6.84
2026-05-29;Rangers;Royals;MacKenzie Gore;Stephen Kolek;52.86;47.14;8.16;3.66;1.7;91.01;4.4
2026-05-29;Astros;Brewers;Kai-Wei Teng;Coleman Crow;47.39;52.61;15.01;8.17;4.27;93.63;5.2
2026-05-29;Rockies;Giants;Michael Lorenzen;Logan Webb;35.43;64.57;36.59;24.86;16.27;93.77;6.73
2026-05-29;Athletics;Yankees;Luis Severino;Carlos Rodón;25.87;74.13;14.13;7.93;3.98;96.26;5.06
2026-05-29;Mariners;Diamondbacks;George Kirby;Zac Gallen;65.89;34.11;33.29;22.02;13.61;95.4;6.54
2026-05-29;Dodgers;Phillies;Justin Wrobleski;Zack Wheeler;44.19;55.81;24.62;15.1;8.54;94.58;5.91
