date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-06-19;Cubs;BlueJays;Ben Brown;Kevin Gausman;56.46;43.54;9.5;4.75;2.25;91.44;4.61
2026-06-19;Tigers;WhiteSox;Tarik Skubal;Brandon Eisert;53.84;46.16;3.78;1.64;0.63;83.82;3.64
2026-06-19;Yankees;Reds;Cam Schlittler;Rhett Lowder;77.88;22.12;25.58;15.95;9.44;93.07;5.99
2026-06-19;Marlins;Giants;Lake Bachar;Landen Roupp;61.33;38.67;5.5;2.34;0.91;91.5;4.16
2026-06-19;Rays;Nationals;Griffin Jax;PJ Poulin;63.33;36.67;49.81;37.87;27.55;96.51;7.8
2026-06-19;Braves;Brewers;Martín Pérez;Jacob Misiorowski;13.77;86.23;12.95;7.09;3.5;88.92;4.91
2026-06-19;Rangers;Padres;Jacob deGrom;Randy Vásquez;77.28;22.72;29.11;19.55;12.67;86.82;6.14
2026-06-19;Astros;Guardians;Tatsuya Imai;Tanner Bibee;67.1;32.9;21.73;13.35;7.61;92.65;5.64
2026-06-19;Royals;Cardinals;Seth Lugo;Michael McGreevy;34.03;65.97;58.53;46.71;35.43;95.03;8.48
2026-06-19;Rockies;Pirates;Kyle Freeland;Bubba Chandler;37.33;62.67;43.81;31.94;22.28;95.57;7.3
2026-06-19;Athletics;Angels;Jeffrey Springs;José Soriano;43.86;56.14;20.04;12.26;6.99;92.81;5.5
2026-06-19;Diamondbacks;Twins;Michael Soroka;Connor Prielipp;48.48;51.52;29.97;19.55;12.35;95.26;6.33
2026-06-19;Dodgers;Orioles;Roki Sasaki;Trey Gibson;77.71;22.29;59.56;47.97;36.59;95.9;8.62
2026-06-19;Mariners;RedSox;Bryce Miller;Ranger Suarez;39.54;60.46;0.53;0.21;0.05;86.15;2.82
