date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-06-10;Rays;RedSox;Drew Rasmussen;Jake Bennett;87.85;12.15;17.89;10.19;5.47;95.48;5.4
2026-06-10;Guardians;Yankees;Parker Messick;Carlos Rodón;36.86;63.14;6.24;3.07;1.33;92.91;4.23
2026-06-10;Giants;Nationals;Robbie Ray;Foster Griffin;43.0;57.0;29.81;19.89;12.41;93.21;6.26
2026-06-10;Padres;Reds;Michael King;Brady Singer;66.72;33.28;38.09;27.21;18.63;92.84;6.85
2026-06-10;Orioles;Mariners;Brandon Young;George Kirby;41.41;58.59;31.48;20.51;12.59;95.63;6.42
2026-06-10;Pirates;Dodgers;Jared Jones;Shohei Ohtani;27.47;72.53;14.44;8.4;4.78;89.49;4.88
2026-06-10;Marlins;Diamondbacks;Ryan Gusto;Ryne Nelson;42.77;57.23;53.67;41.75;31.39;94.17;8.09
2026-06-10;BlueJays;Phillies;Max Scherzer;Jesús Luzardo;13.21;86.79;42.56;30.85;21.83;91.27;7.21
2026-06-10;Mets;Cardinals;Austin Warren;Andre Pallante;36.75;63.25;30.34;19.59;12.33;95.01;6.32
2026-06-10;Royals;Rangers;Seth Lugo;MacKenzie Gore;34.68;65.32;27.69;18.11;11.15;93.23;6.08
2026-06-10;Rockies;Cubs;Michael Lorenzen;Shota Imanaga;21.48;78.52;36.59;25.74;17.13;90.56;6.76
2026-06-10;Athletics;Brewers;Jack Perkins;Brandon Sproat;65.5;34.5;29.86;19.68;12.55;94.49;6.28
2026-06-10;Angels;Astros;Reid Detmers;Peter Lambert;62.29;37.71;10.02;5.13;2.53;92.69;4.65
