date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-05-23;Reds;Cardinals;Chris Paddack;Andre Pallante;41.06;58.94;39.29;27.69;18.07;96.77;6.97
2026-05-23;Cubs;Astros;Colin Rea;Kai-Wei Teng;42.82;57.18;25.79;16.22;9.76;92.9;5.91
2026-05-23;BlueJays;Pirates;Patrick Corbin;Paul Skenes;18.26;81.74;16.84;9.85;5.21;87.26;5.12
2026-05-23;Phillies;Guardians;Zack Wheeler;Slade Cecconi;70.57;29.43;27.72;17.56;10.87;93.14;6.11
2026-05-23;Giants;WhiteSox;Adrian Houser;Bryan Hudson;20.09;79.91;33.3;22.98;14.87;94.83;6.58
2026-05-23;Marlins;Mets;Max Meyer;Freddy Peralta;49.72;50.28;11.88;6.33;3.13;91.13;4.81
2026-05-23;Braves;Nationals;Grant Holmes;Jake Irvin;65.36;34.64;47.03;35.15;25.16;96.35;7.55
2026-05-23;Royals;Mariners;Stephen Kolek;George Kirby;33.21;66.79;16.73;9.38;5.13;93.33;5.35
2026-05-23;RedSox;Twins;Jovani Morán;Taj Bradley;49.37;50.63;9.63;4.95;2.66;91.93;4.56
2026-05-23;Reds;Cardinals;Chris Paddack;Andre Pallante;35.66;64.34;39.75;27.73;18.39;96.81;7.04
2026-05-23;Brewers;Dodgers;Robert Gasser;Roki Sasaki;40.84;59.16;49.93;37.69;27.12;95.99;7.77
2026-05-23;Padres;Athletics;Lucas Giolito;J.T. Ginn;46.2;53.8;12.28;6.67;3.17;96.04;5.03
2026-05-23;Angels;Rangers;Walbert Ureña;Nathan Eovaldi;60.0;40.0;15.35;8.84;4.77;92.36;5.09
2026-05-23;Diamondbacks;Rockies;Zac Gallen;Michael Lorenzen;64.6;35.4;52.72;40.43;29.91;95.12;8.02
