date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-05-20;Phillies;Reds;Aaron Nola;Andrew Abbott;44.6;55.4;36.89;26.07;17.75;95.19;6.79
2026-05-20;Rays;Orioles;Steven Matz;Shane Baz;53.76;46.24;32.35;22.2;14.46;94.74;6.44
2026-05-20;Twins;Astros;Joe Ryan;Mike Burrows;73.25;26.75;12.46;7.15;4.1;91.08;4.73
2026-05-20;Rockies;Rangers;Kyle Freeland;Jack Leiter;43.7;56.3;30.25;20.73;13.88;91.56;6.24
2026-05-20;Diamondbacks;Giants;Merrill Kelly;Tyler Mahle;29.18;70.82;45.71;35.37;26.31;92.61;7.49
2026-05-20;Mariners;WhiteSox;Emerson Hancock;Sean Burke;63.57;36.43;22.92;15.03;9.29;91.3;5.73
2026-05-20;Marlins;Braves;Janson Junk;Chris Sale;25.67;74.33;12.82;7.26;4.05;89.87;4.76
2026-05-20;Nationals;Mets;Zack Littell;Zach Thornton;55.1;44.9;82.23;75.65;67.99;96.15;12.12
2026-05-20;Yankees;BlueJays;Cam Schlittler;Trey Yesavage;41.71;58.29;1.49;0.67;0.3;87.58;2.88
2026-05-20;Cubs;Brewers;Edward Cabrera;Kyle Harrison;25.88;74.12;20.03;12.04;7.35;93.74;5.45
2026-05-20;Royals;RedSox;Michael Wacha;Connelly Early;59.02;40.98;15.66;9.23;5.21;90.72;5.04
2026-05-20;Cardinals;Pirates;Michael McGreevy;Carmen Mlodzinski;31.0;69.0;56.87;45.72;35.29;95.21;8.46
2026-05-20;Padres;Dodgers;Randy Vásquez;Shohei Ohtani;16.21;83.79;21.66;14.04;8.81;91.63;5.56
2026-05-20;Angels;Athletics;Jack Kochanowicz;Aaron Civale;44.74;55.26;48.47;36.39;26.45;96.22;7.73
