date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-06-09;Orioles;Mariners;Trevor Rogers;Logan Gilbert;51.39;48.61;23.55;14.86;8.87;92.27;5.82
2026-06-09;Marlins;Diamondbacks;Max Meyer;Zac Gallen;72.89;27.11;32.41;21.59;13.27;93.65;6.45
2026-06-09;Pirates;Dodgers;Paul Skenes;Eric Lauer;81.89;18.11;33.01;22.07;13.85;94.05;6.49
2026-06-09;Rays;RedSox;Nick Martinez;Payton Tolle;29.4;70.6;12.23;6.61;3.32;91.89;4.89
2026-06-09;Tigers;Twins;Troy Melton;Taj Bradley;30.92;69.08;26.32;16.7;9.67;94.15;6.04
2026-06-09;Guardians;Yankees;Slade Cecconi;Gerrit Cole;27.29;72.71;18.41;10.53;5.85;94.02;5.47
2026-06-09;BlueJays;Phillies;Dylan Cease;Zack Wheeler;66.71;33.29;4.18;1.72;0.64;87.17;3.77
2026-06-09;Mets;Cardinals;Freddy Peralta;Dustin May;45.51;54.49;22.33;13.64;7.75;95.29;5.76
2026-06-09;WhiteSox;Braves;Erick Fedde;Grant Holmes;41.89;58.11;37.61;25.97;16.99;95.79;6.87
2026-06-09;Royals;Rangers;Stephen Kolek;Nathan Eovaldi;46.66;53.34;12.45;6.45;3.31;89.51;4.86
2026-06-09;Rockies;Cubs;Tomoyuki Sugano;Colin Rea;25.43;74.57;71.49;61.47;51.04;95.31;9.98
2026-06-09;Angels;Astros;Walbert Ureña;Kai-Wei Teng;52.89;47.11;12.07;6.27;3.13;95.03;4.91
2026-06-09;Padres;Reds;Lucas Giolito;Chase Burns;24.56;75.44;11.93;6.24;3.09;90.68;4.83
2026-06-09;Giants;Nationals;Adrian Houser;Andrew Alvarez;28.58;71.42;40.34;28.79;19.85;92.68;7.05
2026-06-09;Athletics;Brewers;J.T. Ginn;Robert Gasser;43.12;56.88;22.55;13.55;7.71;96.19;5.77
