date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-05-25;Orioles;Rays;Kyle Bradish;Shane McClanahan;43.03;56.97;11.97;6.43;3.29;91.03;4.76
2026-05-25;Pirates;Cubs;Carmen Mlodzinski;Ben Brown;32.6;67.4;14.61;8.27;4.32;93.47;5.1
2026-05-25;WhiteSox;Twins;Anthony Kay;Zebby Matthews;26.31;73.69;24.5;15.36;8.95;92.33;5.87
2026-05-25;Brewers;Cardinals;Jacob Misiorowski;Matthew Liberatore;87.01;12.99;20.65;12.72;7.47;89.56;5.48
2026-05-25;Royals;Yankees;Michael Wacha;Will Warren;30.5;69.5;15.31;8.38;4.5;91.68;5.16
2026-05-25;Mets;Reds;Nolan McLean;Nick Lodolo;75.3;24.7;39.75;29.44;20.83;94.34;7.03
2026-05-25;Giants;Diamondbacks;Landen Roupp;Merrill Kelly;87.43;12.57;46.36;35.56;26.53;93.77;7.55
