date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-05-30;WhiteSox;Tigers;Anthony Kay;Framber Valdez;43.27;56.73;27.9;17.78;10.89;93.53;6.1
2026-05-30;Orioles;BlueJays;Brandon Young;Trey Yesavage;23.71;76.29;11.33;5.85;2.81;93.55;4.82
2026-05-30;Pirates;Twins;Mitch Keller;Bailey Ober;54.07;45.93;32.08;20.74;12.89;95.9;6.49
2026-05-30;Nationals;Padres;Foster Griffin;Michael King;42.56;57.44;17.9;10.4;5.81;92.47;5.32
2026-05-30;Rangers;Royals;Kumar Rocker;Seth Lugo;61.41;38.59;30.29;19.87;12.47;94.41;6.31
2026-05-30;Guardians;RedSox;Parker Messick;Sonny Gray;75.42;24.58;16.55;9.28;4.93;90.65;5.2
2026-05-30;Mets;Marlins;Christian Scott;Tyler Phillips;45.49;54.51;9.12;4.23;1.85;94.94;4.61
2026-05-30;Rays;Angels;Drew Rasmussen;Reid Detmers;44.81;55.19;7.51;3.66;1.65;90.03;4.36
2026-05-30;Astros;Brewers;Peter Lambert;Brandon Sproat;53.78;46.22;22.21;13.5;7.81;95.75;5.72
2026-05-30;Reds;Braves;Brady Singer;Martín Pérez;30.89;69.11;50.79;38.89;28.77;95.41;7.88
2026-05-30;Cardinals;Cubs;Kyle Leahy;Ben Brown;19.51;80.49;37.87;26.91;18.31;94.47;6.88
2026-05-30;Rockies;Giants;Ryan Feltner;Adrian Houser;40.08;59.92;51.05;39.23;29.03;94.23;7.91
2026-05-30;Athletics;Yankees;J.T. Ginn;Ryan Weathers;40.07;59.93;21.05;12.69;7.24;93.56;5.64
2026-05-30;Dodgers;Phillies;Roki Sasaki;Jesús Luzardo;34.68;65.32;21.23;12.81;7.49;92.51;5.6
2026-05-30;Mariners;Diamondbacks;Bryan Woo;Ryne Nelson;61.86;38.14;28.03;17.79;10.93;94.65;6.18
