date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-05-27;BlueJays;Marlins;Kevin Gausman;Eury Pérez;66.69;33.31;20.55;12.89;7.49;89.19;5.48
2026-05-27;Guardians;Nationals;Gavin Williams;PJ Poulin;69.81;30.19;37.03;26.45;17.73;93.05;6.82
2026-05-27;Brewers;Cardinals;Chad Patrick;Dustin May;56.16;43.84;33.46;22.1;13.59;96.97;6.57
2026-05-27;Athletics;Mariners;Jeffrey Springs;Logan Gilbert;53.93;46.07;15.01;8.59;4.4;90.1;5.06
2026-05-27;Giants;Diamondbacks;Trevor McDonald;Michael Soroka;47.55;52.45;13.29;7.27;3.8;87.9;4.94
2026-05-27;Padres;Phillies;Walker Buehler;Cristopher Sánchez;24.49;75.51;13.79;7.45;4.01;88.44;4.98
2026-05-27;Orioles;Rays;Trey Gibson;Steven Matz;24.8;75.2;57.38;45.78;34.51;95.74;8.43
2026-05-27;Tigers;Angels;Casey Mize;José Soriano;44.25;55.75;4.88;1.97;0.89;88.71;3.93
2026-05-27;Pirates;Cubs;Bubba Chandler;Jameson Taillon;61.74;38.26;43.75;31.86;22.21;96.21;7.31
2026-05-27;RedSox;Braves;Connelly Early;Bryce Elder;24.97;75.03;18.71;10.9;5.91;91.63;5.38
2026-05-27;Mets;Reds;Huascar Brazobán;Andrew Abbott;65.44;34.56;14.62;7.8;3.79;95.79;5.16
2026-05-27;Royals;Yankees;Noah Cameron;Gerrit Cole;26.99;73.01;30.58;19.87;12.24;96.82;6.34
2026-05-27;WhiteSox;Twins;Davis Martin;Connor Prielipp;51.68;48.32;14.34;7.91;3.93;90.97;4.98
2026-05-27;Rangers;Astros;Jacob deGrom;Mike Burrows;59.93;40.07;16.99;9.89;5.53;88.31;5.2
2026-05-27;Dodgers;Rockies;Shohei Ohtani;Tomoyuki Sugano;94.78;5.22;51.89;41.17;31.16;90.35;8.0
