date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-06-02;Phillies;Padres;Aaron Nola;Randy Vásquez;68.41;31.59;39.95;28.91;19.76;92.62;7.0
2026-06-02;Rays;Tigers;Steven Matz;Jack Flaherty;51.1;48.9;25.66;16.47;9.84;93.41;5.94
2026-06-02;RedSox;Orioles;Connelly Early;Shane Baz;44.85;55.15;30.71;20.34;12.44;94.01;6.32
2026-06-02;Nationals;Marlins;Miles Mikolas;Lake Bachar;21.54;78.46;25.22;16.37;9.81;91.79;5.92
2026-06-02;Yankees;Guardians;Cam Schlittler;Joey Cantillo;71.2;28.8;11.78;6.17;3.02;91.18;4.8
2026-06-02;Reds;Royals;Andrew Abbott;Noah Cameron;46.98;53.02;28.46;18.71;11.25;92.96;6.14
2026-06-02;Braves;BlueJays;Bryce Elder;Kevin Gausman;55.79;44.21;13.32;7.23;3.64;93.19;5.0
2026-06-02;Twins;WhiteSox;Connor Prielipp;Davis Martin;46.58;53.42;14.31;7.92;4.09;92.19;5.04
2026-06-02;Brewers;Giants;Kyle Harrison;Trevor McDonald;72.02;27.98;9.35;4.59;2.18;89.05;4.56
2026-06-02;Cardinals;Rangers;Dustin May;Nathan Eovaldi;49.68;50.32;19.43;11.63;6.69;92.03;5.47
2026-06-02;Cubs;Athletics;Jameson Taillon;Gage Jump;37.92;62.08;37.49;26.35;18.0;93.53;6.84
2026-06-02;Astros;Pirates;Mike Burrows;Bubba Chandler;48.71;51.29;31.59;20.53;12.59;96.25;6.43
2026-06-02;Angels;Rockies;Grayson Rodriguez;Tomoyuki Sugano;74.16;25.84;68.37;58.12;47.87;96.14;9.62
2026-06-02;Diamondbacks;Dodgers;Michael Soroka;Eric Lauer;62.03;37.97;51.23;39.15;28.59;95.85;7.9
