date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-06-15;Phillies;Marlins;Zack Wheeler;Ryan Gusto;60.0;40.0;19.85;11.69;6.45;91.39;5.5
2026-06-15;Nationals;Royals;Andrew Alvarez;Mitch Spence;78.27;21.73;41.32;29.05;19.43;95.21;7.15
2026-06-15;Reds;Mets;Chase Burns;Tobias Myers;68.01;31.99;7.89;3.83;1.71;88.85;4.42
2026-06-15;Cubs;Rockies;Shota Imanaga;Michael Lorenzen;73.87;26.13;35.79;24.94;16.57;92.52;6.71
2026-06-15;Astros;Tigers;Kai-Wei Teng;Troy Melton;63.91;36.09;24.39;15.39;9.07;95.22;5.95
2026-06-15;Diamondbacks;Angels;Ryne Nelson;Walbert Ureña;22.32;77.68;26.37;17.17;10.14;94.25;6.02
2026-06-15;Athletics;Pirates;J.T. Ginn;Jared Jones;55.28;44.72;21.79;13.11;7.81;92.67;5.62
2026-06-15;Dodgers;Rays;Eric Lauer;Nick Martinez;54.8;45.2;60.69;48.02;36.59;97.42;8.62
