date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-05-16;Tigers;BlueJays;Casey Mize;Mason Fluharty;29.61;70.39;1.0;0.37;0.17;85.99;2.67
2026-05-16;Cardinals;Royals;Kyle Leahy;Noah Cameron;45.11;54.89;48.8;38.11;28.19;94.2;7.78
2026-05-16;Rockies;Diamondbacks;Tomoyuki Sugano;E. Rodriguez;17.34;82.66;62.33;51.93;42.12;94.57;9.07
2026-05-16;Nationals;Orioles;Cade Cavalli;Chris Bassitt;64.46;35.54;44.31;32.72;23.41;96.42;7.39
2026-05-16;Pirates;Phillies;Bubba Chandler;C. Sánchez;25.4;74.6;22.32;13.91;8.44;94.33;5.66
2026-05-16;Rays;Marlins;Nick Martinez;Sandy Alcantara;43.72;56.28;20.93;12.86;7.67;95.04;5.56
2026-05-16;Guardians;Reds;Joey Cantillo;Chris Paddack;58.77;41.23;23.0;14.8;8.79;94.53;5.74
2026-05-16;Astros;Rangers;Kai-Wei Teng;Jacob deGrom;43.29;56.71;8.27;4.52;2.36;90.4;4.31
2026-05-16;WhiteSox;Cubs;Davis Martin;Jameson Taillon;67.26;32.74;28.64;19.25;12.66;92.54;6.18
2026-05-16;Twins;Brewers;Connor Prielipp;Logan Henderson;45.59;54.41;5.27;2.61;1.22;89.93;3.8
2026-05-16;Mets;Yankees;H. Brazobán;Carlos Rodón;56.91;43.09;12.34;6.73;3.66;97.13;4.84
2026-05-16;Mariners;Padres;Logan Gilbert;Walker Buehler;52.4;47.6;27.21;18.07;11.25;92.15;6.05
2026-05-16;Braves;RedSox;Bryce Elder;Payton Tolle;44.69;55.31;2.77;1.32;0.61;89.21;3.34
2026-05-16;Angels;Dodgers;José Soriano;J. Wrobleski;47.55;52.45;23.46;14.66;8.76;94.87;5.77
2026-05-16;Athletics;Giants;Luis Severino;Trevor McDonald;52.98;47.02;18.41;11.47;6.99;93.0;5.34
